номер,слово
1,читати
2,писати
3,говорити
4,слухати
5,бачити
6,дивитися
7,думати
8,знати
9,розуміти
10,вчити
11,вчитися
12,працювати
13,відпочивати
14,спати
15,їсти
16,пити
17,бігати
18,ходити
19,стояти
20,сидіти
21,лежати
22,плавати
23,літати
24,грати
25,співати
26,танцювати
27,малювати
28,готувати
29,прибирати
30,купувати
31,продавати
32,любити
33,допомагати
34,зустрічати
35,чекати
36,шукати
37,знаходити
38,починати
39,закінчувати
40,посміхатися
41,сміятися
42,плакати
43,мріяти
44,планувати
45,створювати
46,будувати
47,вирішувати
48,запитувати
49,відповідати
50,подорожувати
51,мандрувати
52,фотографувати
53,записувати
54,надсилати
55,отримувати
56,завантажувати
57,встановлювати
58,перевіряти
59,друкувати
60,сканувати
61,видаляти
62,зберігати
63,редагувати
64,створювати
65,змінювати
66,тренуватися
67,займатися
68,святкувати
69,організовувати
70,розслідувати
71,експериментувати
72,досліджувати
73,аналізувати
74,спостерігати
75,вимірювати
76,розраховувати
77,програмувати
78,кодувати
79,тестувати
80,лікувати
81,оперувати
82,діагностувати
83,рятувати
84,захищати
85,будувати
86,ремонтувати
87,виготовляти
88,виробляти
89,збирати
90,розбирати
91,конструювати
92,моделювати
93,проектувати
94,креслити
95,грати
96,перемагати
97,програвати
98,змагатися
99,тренувати
100,керувати
101,водити
102,пілотувати
103,літати
104,плавати
105,писати
106,читати
107,працювати
108,відпочивати
109,займатися
110,лікувати
111,навчати
112,виховувати
113,ростити
114,розвивати
115,виконувати
116,втілювати
117,реалізовувати
118,планувати
119,проектувати
120,вирішувати
121,долати
122,перемагати
123,здобувати
124,заслуговувати
125,рекомендувати
126,пропонувати
127,дарувати
128,приймати
129,віддавати
130,обіцяти
131,клястися
132,вірити
133,сумніватися
134,впевнюватися
135,перевіряти
136,контролювати
137,підтверджувати
138,заперечувати
139,спростовувати
140,доводити
141,аргументувати
142,пояснювати
143,презентувати
144,демонструвати
145,показувати
146,приховувати
147,ховати
148,відкривати
149,закривати
150,оцінювати
151,критикувати
152,хвалити
153,скаржитися
154,дякувати
155,вибачатися
156,прощати
157,пробачати
158,звинувачувати
159,захищати
160,підтримувати
161,відстоювати
162,боронити
163,нападати
164,атакувати
165,воювати
166,стріляти
167,цілитися
168,влучати
169,обстрілювати
170,прямувати
171,йти
172,крокувати
173,бігти
174,стрибати
175,повзти
176,пірнати
177,падати
178,підніматися
179,злітати
180,спускатися
181,гальмувати
182,зупинятися
183,прискорюватися
184,сповільнюватися
185,заламинати
186,стругати
187,пиляти
188,свердлити
189,шліфувати
190,фарбувати
191,клеїти
192,вирізати
193,вишивати
194,в'язати
195,шити
196,плести
197,ткати
198,гаптувати
199,майструвати
200,склеювати
201,з'єднувати
202,роз'єднувати
203,розкладати
204,складати
