номер,слово
1,студент
2,викладач
3,книга
4,комп'ютер
5,університет
6,кімната
7,телефон
8,стіл
9,вікно
10,двері
11,машина
12,будинок
13,школа
14,дитина
15,батько
16,мати
17,брат
18,сестра
19,друг
20,подруга
21,місто
22,країна
23,річка
24,море
25,гора
26,ліс
27,сонце
28,місяць
29,зірка
30,небо
31,земля
32,вода
33,вогонь
34,повітря
35,дощ
36,сніг
37,вітер
38,хмара
39,квітка
40,дерево
41,трава
42,парк
43,музей
44,театр
45,кіно
46,ресторан
47,кафе
48,магазин
49,автобус
50,літак
51,потяг
52,велосипед
53,лікарня
54,аптека
55,вокзал
56,аеропорт
57,поліція
58,пошта
59,банк
60,площа
61,проспект
62,вулиця
63,майдан
64,ринок
65,супермаркет
66,готель
67,офіс
68,фабрика
69,завод
70,стадіон
71,басейн
72,озеро
73,океан
74,пустеля
75,джунглі
76,галактика
77,планета
78,космос
79,тварина
80,птах
81,риба
82,комаха
83,годинник
84,календар
85,президент
86,депутат
87,лікар
88,програміст
89,художник
90,музикант
91,спортсмен
92,бібліотека
93,їдальня
94,клавіатура
95,смартфон
96,планшет
97,телевізор
98,радіо
99,мозок
100,серце
101,легені
102,шкіра
103,волосся
104,ніготь
105,ручка
106,олівець
107,зошит
108,пенал
109,лінійка
110,руки
111,ноги
112,голова
113,обличчя
114,очі
115,ніс
116,рот
117,вуха
118,зуби
119,язик
120,шия
121,плечі
122,спина
123,груди
124,живіт
125,коліна
126,лікоть
127,шлунок
128,район
129,область
130,цукор
131,сіль
132,перець
133,кава
134,чай
135,сік
136,напій
137,молоко
138,хліб
139,сир
140,масло
141,яйце
142,м'ясо
143,риба
144,суп
145,салат
146,піца
147,торт
148,морозиво
149,шоколад
150,цукерка
151,печиво
152,макарони
153,рис
154,гречка
155,овес
156,пшениця
157,кукурудза
158,боби
159,горіх
160,яблуко
161,груша
162,слива
163,вишня
164,виноград
165,абрикос
166,персик
167,банан
168,апельсин
169,мандарин
170,лимон
171,грейпфрут
172,ананас
173,манго
174,кокос
175,ківі
176,полуниця
177,малина
178,журнал
179,газета
180,монітор
181,принтер
182,сканер
183,клавіатура
184,миша
185,диск
186,флешка
187,пам'ять
188,процесор
189,мережа
190,інтернет
191,сайт
192,програма
193,додаток
194,гра
195,ліцензія
196,паспорт
197,посвідчення
198,свідоцтво
199,диплом
200,сертифікат
201,картка
202,рахунок
203,валюта
204,гривня
205,долар
206,євро
207,фунт
208,єна
209,франк
